Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
VIrC,3,5.386,10.849,13.019,141.239,-8.248,0,0.305,PBE,39.057,229.091,5.333,0.647,3,0.311,158.4726,2.815,8,0.704,46.565,1.255,27.995,1.684,29.679,5.6,9.149,0.13,
VIrGe,3,5.831,10.581,16.52,174.799,-7.886,0,0.295,PBE,49.559,188.927,5.333,0.155,3,0.075,1114.5487,0.776,11,0.157,364.817,1.255,22.051,1.43,23.481,13.757,32.269,0.1,
VIrSi,3,5.732,9.567,15.692,150.137,-8.371,0,0.184,PBE,47.077,204.679,5.333,0.026,3,0.012,17575.8684,4.783,11,0.967,25.828,1.255,28.772,1.592,30.364,33.642,9.079,0.11,
VIrSn,3,6.08,10.694,18.731,200.299,-7.51,0,0.293,PBE,56.192,166.402,5.333,0.242,3,0.116,503.3168,4.764,11,0.963,21.125,1.255,17.86,1.28,19.14,11.38,11.738,0.1,
VNiAl,3,5.578,5.23,14.46,75.619,-6.25,0,0.12,PBE,43.379,143.521,5.333,1.248,3,0.6,37.0533,0.127,8,0.032,3053.251,1.255,25.874,1.853,27.727,2.532,39.423,0.1,
VNiB,3,5.088,6.075,10.974,66.668,-7.023,0,0.904,PBE,32.922,209.252,5.333,1.24,3,0.596,54.5784,3.622,3,1.741,10.926,1.255,41.404,2.277,43.682,2.353,1.236,0.1,
VNiGa,3,5.56,6.931,14.323,99.277,-5.975,0,0.319,PBE,42.969,148.818,5.333,2.057,3,0.989,18.1656,0.369,11,0.075,875.093,1.255,19.773,1.645,21.417,2.519,43.506,0.1,
VNiIn,3,5.847,7.457,16.662,124.238,-5.54,0,0.223,PBE,49.985,123.72,5.333,1.46,3,0.702,25.254,0.264,3,0.127,328.97,1.255,13.282,1.374,14.656,3.758,10.494,0.1,
VOsAs,3,5.822,10.64,16.444,174.962,-8.476,0,0.079,PBE,49.332,198.697,5.333,0.788,3,0.379,102.3134,1.888,3,0.908,27.564,1.255,24.42,1.464,25.884,4.949,2.928,0.1,
VOsBi,3,6.208,12.495,19.941,249.165,-7.656,0,0.119,PBE,59.824,155.111,5.333,0.727,3,0.349,90.1087,1.678,3,0.807,25.697,1.255,13.183,1.119,14.302,7.337,4.442,0.1,
VOsP,3,5.674,9.896,15.222,150.636,-8.901,0,1.099,MBJ,45.667,218.599,5.333,0.984,3,0.473,80.6227,2.307,3,1.109,22.458,1.255,31.311,1.634,32.945,3.743,2.245,0.15,
VOsSb,3,6.07,10.777,18.64,200.887,-8.172,0,0.109,PBE,55.921,178.244,5.333,0.722,3,0.347,104.6703,1.284,11,0.26,161.788,1.255,20.539,1.322,21.861,5.54,24.178,0.1,
VPtAl,3,5.876,8.936,16.91,151.113,-6.803,0,1.015,MBJ,50.731,157.257,5.333,0.132,3,0.063,1182.8747,1.662,11,0.336,96.897,1.255,18.316,1.408,19.725,15.023,20.248,0.1,
VPtB,3,5.488,10.32,13.775,142.162,-7.176,0,0.369,PBE,41.324,205.983,5.333,0.174,3,0.084,1017.713,1.019,3,0.49,72.118,1.255,24.399,1.606,26.006,12.616,4.376,0.1,
VPtGa,3,5.881,10.31,16.952,174.771,-6.429,0,0.167,PBE,50.855,159.105,5.333,0.27,3,0.13,408.6055,1.597,3,0.768,28.386,1.255,15.819,1.318,17.137,11.382,3.917,0.1,
VReTe,3,6.107,10.637,18.98,201.893,-7.918,0,0.244,MBJ,56.94,170.237,5.333,0.316,3,0.152,345.075,2.073,11,0.419,75.288,1.255,19.074,1.292,20.366,9.322,18.592,0.1,
VRhC,3,5.301,7.396,12.412,91.804,-7.798,0,0.452,PBE,37.236,218.964,5.333,0.594,3,0.286,172.0788,3.739,3,1.798,10.901,1.255,39.108,2.026,41.134,4.064,1.348,0.1,
VRhGe,3,5.787,7.764,16.148,125.363,-7.31,0,0.319,PBE,48.443,170.445,5.333,0.094,6,0.028,4287.4549,1.833,3,0.881,24.725,1.255,25.201,1.598,26.799,38.849,2.47,0.1,
VRhSi,3,5.69,6.559,15.354,100.702,-7.739,0,0.187,PBE,46.063,185.625,5.333,0.223,3,0.107,633.5498,1.492,3,0.717,36.681,1.255,36.159,1.845,38.003,6.71,2.147,0.1,
VRhSn,3,6.042,8.206,18.385,150.864,-6.95,0,0.346,PBE,55.155,149.417,5.333,0.463,3,0.223,170.8196,2.2,3,1.058,16.481,1.255,19.179,1.393,20.572,6.442,2.528,0.1,
VRuAs,3,5.773,7.833,16.036,125.61,-7.966,0,0.14,PBE,48.108,184.823,5.333,0.893,3,0.429,78.8462,3.21,11,0.649,42.42,1.255,29.696,1.66,31.356,3.524,10.085,0.11,
