Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
ZrAuGa,3,6.3,9.506,20.84,198.11,-5.453,0,0.594,PBE,62.519,117.321,5.333,1.362,6,0.412,53.1425,4.479,6,1.356,8.911,1.255,10.194,1.1,11.294,12.724,6.229,0.23,
ZrCoAs,3,5.836,7.52,16.568,124.584,-7.622,0,1.208,PBE,49.703,151.444,5.333,4.412,3,2.121,5.883,4.502,8,1.126,15.22,1.255,20.506,1.517,22.023,1.577,6.149,0.14,
ZrCoBi,3,6.223,9.897,20.085,198.787,-6.908,0,0.985,PBE,60.256,118.732,5.333,3.405,3,1.637,6.8029,6.877,8,1.719,6.32,1.255,9.726,1.098,10.823,2.938,7.608,0.21,
ZrCoP,3,5.699,6.502,15.421,100.258,-7.963,0,1.284,PBE,46.262,166.917,5.333,4.289,3,2.062,6.765,5.552,8,1.388,12.249,1.255,28.959,1.754,30.713,1.267,4.286,0.23,
ZrCoSb,3,6.094,7.98,18.86,150.51,-7.329,0,1.057,PBE,56.58,135.048,5.333,3.517,3,1.691,7.3711,3.412,8,0.853,20.571,1.255,16.127,1.331,17.458,2.032,8.169,0.11,
ZrCuB,3,5.587,6.307,14.532,91.651,-6.136,0,0.084,PBE,43.595,146.73,5.333,0.817,6,0.247,143.0601,0.261,6,0.079,792.302,1.255,21.705,1.704,23.408,10.433,20.69,0.19,
ZrFePo,3,6.232,9.774,20.165,197.089,-6.823,0,0.096,PBE,60.495,119.041,5.333,0.177,3,0.085,575.493,4.951,4,1.965,5.187,1.255,9.959,1.105,11.063,16.99,3.444,0.22,
ZrFeS,3,5.669,6.53,15.184,99.153,-7.553,0,0.326,PBE,45.553,158.293,5.333,0.299,3,0.144,348.5428,1.195,4,0.474,58.163,1.255,25.346,1.714,27.06,6.743,4.393,0.12,
ZrFeSe,3,5.838,7.547,16.578,125.11,-7.321,0,0.112,PBE,49.734,145.997,5.333,0.052,3,0.025,4432.4124,3.981,4,1.58,8.823,1.255,18.832,1.486,20.319,23.659,2.621,0.11,
ZrFeTe,3,6.084,8.103,18.763,152.033,-7.19,0,1.156,PBE,56.289,136.714,5.333,7.255,3,3.488,2.5186,4.843,4,1.922,6.157,1.255,16.211,1.332,17.543,1.326,2.528,0.21,
ZrIrAs,3,6.157,10.2,19.446,198.358,-8.276,0,0.265,PBE,58.339,156.638,5.333,0.024,3,0.012,15166.4148,3.481,8,0.87,23.153,1.255,16.961,1.255,18.216,45.027,8.973,0.16,
ZrIrBi,3,6.48,12.018,22.68,272.562,-7.741,0,0.204,PBE,68.039,133.524,5.333,0.112,6,0.034,2564.8655,2.838,8,0.71,26.811,1.255,10.8,1.014,11.814,61.974,13.331,0.27,
ZrIrP,3,6.038,9.487,18.344,174.033,-8.533,0,0.782,PBE,55.031,168.954,5.333,0.191,9,0.044,2185.9634,4.777,8,1.194,15.535,1.255,21.076,1.379,22.455,52.84,6.493,0.2,
ZrIrSb,3,6.358,10.472,21.418,224.284,-8.134,0,1.407,PBE,64.255,150.824,5.333,1.077,6,0.326,97.1585,1.966,8,0.492,52.525,1.255,16.108,1.177,17.285,12.304,12.828,0.15,
ZrNiC,3,5.397,6.842,13.099,89.629,-7.446,0,0.953,PBE,39.298,178.536,5.333,0.995,3,0.478,64.7579,0.5,8,0.125,484.776,1.255,28.343,1.868,30.211,3.311,19.756,0.11,
ZrNiGe,3,5.895,7.215,17.074,123.188,-6.955,0,0.665,PBE,51.223,137.365,5.333,1.148,3,0.552,40.2037,3.453,8,0.863,20.552,1.255,17.722,1.46,19.182,3.683,7.509,0.22,
ZrNiPb,3,6.239,9.769,20.233,197.669,-6.245,0,0.365,PBE,60.7,109.603,5.333,1.698,9,0.392,53.4984,2.325,8,0.581,29.68,1.255,8.315,1.059,9.374,22.134,15.544,0.2,
ZrNiSi,3,5.818,6.003,16.413,98.527,-7.294,0,0.786,PBE,49.24,146.561,5.333,1.745,3,0.839,22.8891,4.611,8,1.153,14.21,1.255,24.931,1.676,26.606,2.203,4.856,0.11,
ZrNiSn,3,6.148,7.676,19.37,148.689,-6.633,0,0.486,PBE,58.109,120.938,5.333,1.59,3,0.764,21.7156,2.772,3,1.333,9.434,1.255,13.474,1.273,14.748,3.469,2.485,0.13,
ZrPtPb,3,6.502,11.928,22.902,273.163,-6.788,0,0.826,PBE,68.705,120.947,5.333,1.683,3,0.809,19.9421,1.168,3,0.562,34.493,1.255,8.81,0.966,9.775,5.058,6.297,0.11,
ZrPtSi,3,6.129,9.071,19.185,174.021,-7.713,0,1.337,PBE,57.554,155.002,5.333,2.314,6,0.701,31.7047,3.719,6,1.126,15.561,1.255,18.944,1.33,20.274,6.813,5.125,0.23,
ZrPtSn,3,6.407,10.228,21.918,224.183,-7.182,0,0.974,PBE,65.753,135.589,5.333,1.769,3,0.85,20.7461,2.46,3,1.183,12.651,1.255,13.292,1.121,14.412,3.733,3.063,0.11,
ZrRhAs,3,6.104,7.858,18.953,148.923,-7.835,0,1.204,PBE,56.859,148.399,5.333,1.368,3,0.658,33.389,1.52,8,0.38,76.021,1.255,20.321,1.404,21.726,3.162,11.718,0.11,
ZrRhBi,3,6.443,10.01,22.29,223.127,-7.267,0,1.023,PBE,66.869,123.348,5.333,3.901,6,1.181,11.5266,0.345,8,0.086,584.352,1.255,11.187,1.074,12.261,6.554,42.015,0.11,
ZrRhP,3,5.984,6.977,17.858,124.598,-8.103,0,1.427,PBE,53.574,160.409,5.333,1.885,6,0.571,44.6268,1.753,8,0.438,66.348,1.255,26.825,1.581,28.405,5.692,8.893,0.13,
ZrRhSb,3,6.324,8.297,21.074,174.849,-7.642,0,1.18,PBE,63.221,137.754,5.333,3.403,3,1.636,7.8998,1.787,8,0.447,55.359,1.255,17.304,1.271,18.575,1.987,11.546,0.11,
ZrRuTe,3,6.318,8.426,21.015,177.065,-7.666,0,0.888,PBE,63.044,141.107,5.333,0.456,3,0.219,164.9699,3.2,8,0.8,23.664,1.255,17.879,1.277,19.157,6.592,8.084,0.15,
